Tipo,STB,Turno,Analista,Fecha,Canal,Video,Audio Pri,Audio Sec,Logo,EPG,Novedad,Observación,Último Revisor,Siguiente Analista
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 02 - InfoTigo","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 03 - City TV","V FAIL","A1 FAIL","A2 FAIL","L FAIL","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 04 - InstHD","V OK","A1 FAIL","A2 FAIL","L FAIL","E FAIL","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 05 - TAntioqHD","V FAIL","A1 OK","A2 FAIL","L FAIL","E OK","Demo: revisión STB Cisco PDS2100 / turno T1","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 06 - TMedellHD","V OK","A1 FAIL","A2 OK","L FAIL","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 07 - Caracol HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 08 - Canal1 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 09 - RCN HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 10 - Cosmov HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 12 - Disney HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 13 - Nick HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 14 - Cartoon HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 15 - D Kids HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 16 - Disney Jr HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 17 - Nick Jr HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 18 - Cartoonito HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 19 - DREAMW HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 20 - Tooncast HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 21 - Baby TV","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
